Navn;Stasjon;Tid(norsk normaltid);Maksimumstemperatur (døgn);Middeltemperatur (døgn);Minimumstemperatur (døgn)
Stavanger - Våland;SN44640;26.11.2019;6,6;6,2;5,5
Stavanger - Våland;SN44640;27.11.2019;8;6,8;5,6
Stavanger - Våland;SN44640;28.11.2019;7,8;5;4,5
Stavanger - Våland;SN44640;29.11.2019;5,3;2,3;1,5
Stavanger - Våland;SN44640;30.11.2019;3,9;1,5;0,1
Stavanger - Våland;SN44640;01.12.2019;4,8;2,6;-0,3
Stavanger - Våland;SN44640;02.12.2019;4;2,2;0,5
Stavanger - Våland;SN44640;03.12.2019;8,1;6,7;1,5
Stavanger - Våland;SN44640;04.12.2019;7,9;7,2;5,9
Stavanger - Våland;SN44640;05.12.2019;8;7,4;6,9
Stavanger - Våland;SN44640;06.12.2019;8,6;7,1;5,2
Stavanger - Våland;SN44640;07.12.2019;8,3;3,7;1,2
Stavanger - Våland;SN44640;08.12.2019;8,7;7;1,9
Stavanger - Våland;SN44640;09.12.2019;7,3;4,7;2,9
Stavanger - Våland;SN44640;10.12.2019;6,5;4,8;1,4
Stavanger - Våland;SN44640;11.12.2019;9,1;6;4,5
Stavanger - Våland;SN44640;12.12.2019;5,8;4;2,6
Stavanger - Våland;SN44640;13.12.2019;5,9;5;2,4
Stavanger - Våland;SN44640;14.12.2019;5,8;5,3;4,3
Stavanger - Våland;SN44640;15.12.2019;5,7;3,5;2,3
Stavanger - Våland;SN44640;16.12.2019;6;4,1;2,7
Stavanger - Våland;SN44640;17.12.2019;5,6;4,8;3,8
Stavanger - Våland;SN44640;18.12.2019;5,6;3,9;3,2
Stavanger - Våland;SN44640;19.12.2019;9,2;7,5;3
Stavanger - Våland;SN44640;20.12.2019;10,9;9,8;8,7
Stavanger - Våland;SN44640;21.12.2019;9,8;7;5,8
Stavanger - Våland;SN44640;22.12.2019;8,2;6,8;5,6
Stavanger - Våland;SN44640;23.12.2019;7,4;5,4;4,7
Stavanger - Våland;SN44640;24.12.2019;5,7;4,9;4,3
Stavanger - Våland;SN44640;25.12.2019;5,3;4,2;3
Stavanger - Våland;SN44640;26.12.2019;4,4;1,5;0,1
Stavanger - Våland;SN44640;27.12.2019;4,5;2,8;-0,1
Stavanger - Våland;SN44640;28.12.2019;6;4,7;2,4
Stavanger - Våland;SN44640;29.12.2019;9;8;6
Stavanger - Våland;SN44640;30.12.2019;8,6;7,3;5,8
Stavanger - Våland;SN44640;31.12.2019;7,1;5,1;3,4
Stavanger - Våland;SN44640;01.01.2020;6,4;5,9;5,5
Stavanger - Våland;SN44640;02.01.2020;7,3;6,7;5,7
Stavanger - Våland;SN44640;03.01.2020;8;4,8;2,9
Stavanger - Våland;SN44640;04.01.2020;4,9;2;0,8
Stavanger - Våland;SN44640;05.01.2020;7,3;5,4;1,4
Stavanger - Våland;SN44640;06.01.2020;7,8;6,8;5,7
Stavanger - Våland;SN44640;07.01.2020;7,3;6,7;4,8
Stavanger - Våland;SN44640;08.01.2020;9,8;6,5;3,5
Stavanger - Våland;SN44640;09.01.2020;6,7;3,9;2,6
Stavanger - Våland;SN44640;10.01.2020;3,3;1,6;-0,4
Stavanger - Våland;SN44640;11.01.2020;8,5;6,9;0,3
Stavanger - Våland;SN44640;12.01.2020;8,3;5,4;3,2
Stavanger - Våland;SN44640;13.01.2020;6,1;5,2;3,1
Stavanger - Våland;SN44640;14.01.2020;7,2;5,6;4,1
Stavanger - Våland;SN44640;15.01.2020;7,1;6,3;3,8
Stavanger - Våland;SN44640;16.01.2020;7,8;7,1;6,2
Stavanger - Våland;SN44640;17.01.2020;8,5;7,5;6,1
Stavanger - Våland;SN44640;18.01.2020;6,7;4,5;3,7
Stavanger - Våland;SN44640;19.01.2020;5,5;4,7;2,2
Stavanger - Våland;SN44640;20.01.2020;7,1;6,7;5,3
Stavanger - Våland;SN44640;21.01.2020;8,1;6,2;4,5
Stavanger - Våland;SN44640;22.01.2020;5,8;4,2;2,8
Stavanger - Våland;SN44640;23.01.2020;7,7;6,7;3
Stavanger - Våland;SN44640;24.01.2020;7,3;5,1;2,5
Stavanger - Våland;SN44640;25.01.2020;6,7;5,7;2,2
Stavanger - Våland;SN44640;26.01.2020;6,6;6;5,2
Stavanger - Våland;SN44640;27.01.2020;7;5;3,2
Stavanger - Våland;SN44640;28.01.2020;4,6;3,6;2,4
Stavanger - Våland;SN44640;29.01.2020;5,1;3,1;2,1
Stavanger - Våland;SN44640;30.01.2020;5,5;3,6;2,3
Stavanger - Våland;SN44640;31.01.2020;7,2;6,4;3,3
Stavanger - Våland;SN44640;01.02.2020;8,2;6,3;2,5
Stavanger - Våland;SN44640;02.02.2020;4,8;2,8;0,6
Stavanger - Våland;SN44640;03.02.2020;4,4;2,5;0,3
Stavanger - Våland;SN44640;04.02.2020;5,3;2,5;1,2
Stavanger - Våland;SN44640;05.02.2020;6,6;4,7;-0,2
Stavanger - Våland;SN44640;06.02.2020;7,4;6,1;5,4
Stavanger - Våland;SN44640;07.02.2020;5,6;4,2;1,2
Stavanger - Våland;SN44640;08.02.2020;7,6;6;4,9
Stavanger - Våland;SN44640;09.02.2020;8,3;6,6;4,4
Stavanger - Våland;SN44640;10.02.2020;8;4,7;3,3
Stavanger - Våland;SN44640;11.02.2020;5,9;4,1;2,3
Stavanger - Våland;SN44640;12.02.2020;5;3,1;2,4
Stavanger - Våland;SN44640;13.02.2020;5;1,9;-0,4
Stavanger - Våland;SN44640;14.02.2020;5,5;3,3;0,5
Stavanger - Våland;SN44640;15.02.2020;7,8;6,8;4,3
Stavanger - Våland;SN44640;16.02.2020;8,5;6,8;4,7
Stavanger - Våland;SN44640;17.02.2020;8,2;7;5,4
Stavanger - Våland;SN44640;18.02.2020;7,4;4,9;3,4
Stavanger - Våland;SN44640;19.02.2020;7;3,9;1,5
Stavanger - Våland;SN44640;20.02.2020;7,1;5,1;2,7
Stavanger - Våland;SN44640;21.02.2020;7,6;6,2;2,7
Stavanger - Våland;SN44640;22.02.2020;7,8;5,6;2,2
Stavanger - Våland;SN44640;23.02.2020;6,3;4;2,3
Stavanger - Våland;SN44640;24.02.2020;5,6;2,8;0,6
Stavanger - Våland;SN44640;25.02.2020;4,5;2,9;1,9
Stavanger - Våland;SN44640;26.02.2020;4;1,5;-0,3
Stavanger - Våland;SN44640;27.02.2020;4,7;1,6;-1
Stavanger - Våland;SN44640;28.02.2020;7,5;3,3;0,5
Stavanger - Våland;SN44640;29.02.2020;5;3,8;2,9
Stavanger - Våland;SN44640;01.03.2020;6,6;4;0,6
Stavanger - Våland;SN44640;02.03.2020;7,6;4,4;2,6
Stavanger - Våland;SN44640;03.03.2020;6,5;4,4;2,2
Stavanger - Våland;SN44640;04.03.2020;7,3;3,8;1,6
Stavanger - Våland;SN44640;05.03.2020;7,5;3,1;0,7
Stavanger - Våland;SN44640;06.03.2020;6,3;2,6;0,2
Stavanger - Våland;SN44640;07.03.2020;4,8;3;-0,4
Stavanger - Våland;SN44640;08.03.2020;7,8;7;3,3
Stavanger - Våland;SN44640;09.03.2020;8,1;6,1;5
Stavanger - Våland;SN44640;10.03.2020;8,1;5,8;4,4
