Navn;Stasjon;Tid(norsk normaltid);Maksimumstemperatur (døgn);Middeltemperatur (døgn);Minimumstemperatur (døgn)
Stavanger - Våland;SN44640;11.03.2020;6,9;5,3;4,5
Stavanger - Våland;SN44640;12.03.2020;6,4;4,2;2,1
Stavanger - Våland;SN44640;13.03.2020;4,9;2,2;1,1
Stavanger - Våland;SN44640;14.03.2020;4,3;1,5;-2,5
Stavanger - Våland;SN44640;15.03.2020;7,6;6,5;2,9
Stavanger - Våland;SN44640;16.03.2020;6,9;4,8;1,7
Stavanger - Våland;SN44640;17.03.2020;9;6,8;4
Stavanger - Våland;SN44640;18.03.2020;7,7;5,1;3,7
Stavanger - Våland;SN44640;19.03.2020;6;4,4;2,6
Stavanger - Våland;SN44640;20.03.2020;8,1;4,2;1,8
Stavanger - Våland;SN44640;21.03.2020;8,6;3,6;-0,6
Stavanger - Våland;SN44640;22.03.2020;7,1;4;1,2
Stavanger - Våland;SN44640;23.03.2020;7,4;4,8;3,3
Stavanger - Våland;SN44640;24.03.2020;9,1;6,4;4,1
Stavanger - Våland;SN44640;25.03.2020;9,6;7,3;5,8
Stavanger - Våland;SN44640;26.03.2020;8,8;6,4;5,6
Stavanger - Våland;SN44640;27.03.2020;8,6;5,6;4,5
Stavanger - Våland;SN44640;28.03.2020;7,6;4;1,3
Stavanger - Våland;SN44640;29.03.2020;5,3;2;-1,4
Stavanger - Våland;SN44640;30.03.2020;8,9;4,9;2,1
Stavanger - Våland;SN44640;31.03.2020;8;4,4;0,2
Stavanger - Våland;SN44640;01.04.2020;6,5;5,5;4,6
Stavanger - Våland;SN44640;02.04.2020;5,7;4,3;1,6
Stavanger - Våland;SN44640;03.04.2020;4,7;1,3;-0,1
Stavanger - Våland;SN44640;04.04.2020;7;4,1;-1,1
Stavanger - Våland;SN44640;05.04.2020;12,7;9,6;5,7
Stavanger - Våland;SN44640;06.04.2020;17,6;11,4;7,8
Stavanger - Våland;SN44640;07.04.2020;12,3;8,2;3,9
Stavanger - Våland;SN44640;08.04.2020;10,9;7,5;6,1
Stavanger - Våland;SN44640;09.04.2020;7,7;4,9;3,1
Stavanger - Våland;SN44640;10.04.2020;8,3;4,7;1,3
Stavanger - Våland;SN44640;11.04.2020;8,2;6,3;3,4
Stavanger - Våland;SN44640;12.04.2020;8,8;5,6;3,7
Stavanger - Våland;SN44640;13.04.2020;6,3;3,3;1
Stavanger - Våland;SN44640;14.04.2020;6,8;4,6;2,4
Stavanger - Våland;SN44640;15.04.2020;7,8;6,8;4,8
Stavanger - Våland;SN44640;16.04.2020;9,7;6,2;4,9
Stavanger - Våland;SN44640;17.04.2020;9,7;5,5;1,2
Stavanger - Våland;SN44640;18.04.2020;10,4;6,8;2,7
Stavanger - Våland;SN44640;19.04.2020;13,7;8,2;2,9
Stavanger - Våland;SN44640;20.04.2020;14,6;9,9;5,1
Stavanger - Våland;SN44640;21.04.2020;19,5;13,3;7,2
Stavanger - Våland;SN44640;22.04.2020;19,2;13,5;8,4
Stavanger - Våland;SN44640;23.04.2020;15,3;10;7
Stavanger - Våland;SN44640;24.04.2020;13,7;8,9;5,4
Stavanger - Våland;SN44640;25.04.2020;13;8,6;3,9
Stavanger - Våland;SN44640;26.04.2020;9,2;6,6;4,8
Stavanger - Våland;SN44640;27.04.2020;10;6,6;4,7
Stavanger - Våland;SN44640;28.04.2020;11,9;6,7;3,6
Stavanger - Våland;SN44640;29.04.2020;11,1;7,8;4,7
Stavanger - Våland;SN44640;30.04.2020;9;7,6;7,1
Stavanger - Våland;SN44640;01.05.2020;14,2;8,6;6,2
Stavanger - Våland;SN44640;02.05.2020;14,2;8,7;4,5
Stavanger - Våland;SN44640;03.05.2020;11,6;7,5;4,8
Stavanger - Våland;SN44640;04.05.2020;10,6;6,7;3,5
Stavanger - Våland;SN44640;05.05.2020;11;6,7;2,1
Stavanger - Våland;SN44640;06.05.2020;12,3;8;3,7
Stavanger - Våland;SN44640;07.05.2020;12;7,5;4,4
Stavanger - Våland;SN44640;08.05.2020;12,1;8,2;4,6
Stavanger - Våland;SN44640;09.05.2020;12,5;7,5;3,6
Stavanger - Våland;SN44640;10.05.2020;8,3;5,2;2,8
Stavanger - Våland;SN44640;11.05.2020;7,7;4,6;2,3
Stavanger - Våland;SN44640;12.05.2020;7,6;4,3;1,9
Stavanger - Våland;SN44640;13.05.2020;8,8;5,2;2
Stavanger - Våland;SN44640;14.05.2020;9,8;5,6;1,9
Stavanger - Våland;SN44640;15.05.2020;9,1;6,3;4,4
Stavanger - Våland;SN44640;16.05.2020;8,6;5,2;3,5
Stavanger - Våland;SN44640;17.05.2020;8,7;6;4
Stavanger - Våland;SN44640;18.05.2020;11,5;7,7;3,4
Stavanger - Våland;SN44640;19.05.2020;12,5;8,5;6,3
Stavanger - Våland;SN44640;20.05.2020;15,3;10,2;4,2
Stavanger - Våland;SN44640;21.05.2020;19,2;14;9
Stavanger - Våland;SN44640;22.05.2020;18,6;13,9;11,6
Stavanger - Våland;SN44640;23.05.2020;13,7;10,7;8,9
Stavanger - Våland;SN44640;24.05.2020;10,3;9;8,2
Stavanger - Våland;SN44640;25.05.2020;14,1;10,3;8,1
Stavanger - Våland;SN44640;26.05.2020;15,4;-;7,8
Bergen - Sandsli;SN50480;26.11.2019;-;4,4;-
Bergen - Sandsli;SN50480;27.11.2019;-;3,7;-
Bergen - Sandsli;SN50480;28.11.2019;-;3,9;-
Bergen - Sandsli;SN50480;29.11.2019;-;1,6;-
Bergen - Sandsli;SN50480;30.11.2019;-;0,1;-
Bergen - Sandsli;SN50480;01.12.2019;-;0,9;-
Bergen - Sandsli;SN50480;02.12.2019;-;0,7;-
Bergen - Sandsli;SN50480;03.12.2019;-;6,4;-
Bergen - Sandsli;SN50480;04.12.2019;-;7,8;-
Bergen - Sandsli;SN50480;05.12.2019;-;7,4;-
Bergen - Sandsli;SN50480;06.12.2019;-;5,4;-
Bergen - Sandsli;SN50480;07.12.2019;-;2,4;-
Bergen - Sandsli;SN50480;08.12.2019;-;5,5;-
Bergen - Sandsli;SN50480;09.12.2019;-;3,4;-
Bergen - Sandsli;SN50480;10.12.2019;-;3,4;-
Bergen - Sandsli;SN50480;11.12.2019;-;7;-
Bergen - Sandsli;SN50480;12.12.2019;-;5,1;-
Bergen - Sandsli;SN50480;13.12.2019;-;4,1;-
Bergen - Sandsli;SN50480;14.12.2019;-;0,2;-
Bergen - Sandsli;SN50480;15.12.2019;-;3,7;-
Bergen - Sandsli;SN50480;16.12.2019;-;3;-
Bergen - Sandsli;SN50480;17.12.2019;-;4,4;-
Bergen - Sandsli;SN50480;18.12.2019;-;2,6;-
Bergen - Sandsli;SN50480;19.12.2019;-;5,9;-
Bergen - Sandsli;SN50480;20.12.2019;-;11,2;-
Bergen - Sandsli;SN50480;21.12.2019;-;8,6;-
Bergen - Sandsli;SN50480;22.12.2019;-;2,2;-
Bergen - Sandsli;SN50480;23.12.2019;-;3,2;-
Bergen - Sandsli;SN50480;24.12.2019;-;3,7;-
Bergen - Sandsli;SN50480;25.12.2019;-;2,2;-
Bergen - Sandsli;SN50480;26.12.2019;-;-0,5;-
Bergen - Sandsli;SN50480;27.12.2019;-;1,3;-
Bergen - Sandsli;SN50480;28.12.2019;-;5;-
Bergen - Sandsli;SN50480;29.12.2019;-;8,5;-
Bergen - Sandsli;SN50480;30.12.2019;-;7,5;-
Bergen - Sandsli;SN50480;31.12.2019;-;4,3;-
Bergen - Sandsli;SN50480;01.01.2020;-;7;-
Bergen - Sandsli;SN50480;02.01.2020;-;7,6;-
Bergen - Sandsli;SN50480;03.01.2020;-;4;-
Bergen - Sandsli;SN50480;04.01.2020;-;1,9;-
Bergen - Sandsli;SN50480;05.01.2020;-;5,5;-
Bergen - Sandsli;SN50480;06.01.2020;-;7,5;-
Bergen - Sandsli;SN50480;07.01.2020;-;7,3;-
Bergen - Sandsli;SN50480;08.01.2020;-;6,3;-
Bergen - Sandsli;SN50480;09.01.2020;-;2,8;-
Bergen - Sandsli;SN50480;10.01.2020;-;0,8;-
Bergen - Sandsli;SN50480;11.01.2020;-;6,8;-
Bergen - Sandsli;SN50480;12.01.2020;-;5,4;-
Bergen - Sandsli;SN50480;13.01.2020;-;5,4;-
Bergen - Sandsli;SN50480;14.01.2020;-;5;-
Bergen - Sandsli;SN50480;15.01.2020;-;6;-
Bergen - Sandsli;SN50480;16.01.2020;-;7,7;-
Bergen - Sandsli;SN50480;17.01.2020;-;7,7;-
Bergen - Sandsli;SN50480;18.01.2020;-;5,2;-
Bergen - Sandsli;SN50480;19.01.2020;-;3,7;-
Bergen - Sandsli;SN50480;20.01.2020;-;7,4;-
Bergen - Sandsli;SN50480;21.01.2020;-;5,8;-
Bergen - Sandsli;SN50480;22.01.2020;-;3,1;-
Bergen - Sandsli;SN50480;23.01.2020;-;6,8;-
Bergen - Sandsli;SN50480;24.01.2020;-;4;-
Bergen - Sandsli;SN50480;25.01.2020;-;5,4;-
Bergen - Sandsli;SN50480;26.01.2020;-;6,5;-
Bergen - Sandsli;SN50480;27.01.2020;-;4,9;-
Bergen - Sandsli;SN50480;28.01.2020;-;2,6;-
Bergen - Sandsli;SN50480;29.01.2020;-;2,6;-
Bergen - Sandsli;SN50480;30.01.2020;-;3,6;-
Bergen - Sandsli;SN50480;31.01.2020;-;6,1;-
Bergen - Sandsli;SN50480;01.02.2020;-;5,1;-
Bergen - Sandsli;SN50480;02.02.2020;-;1,2;-
Bergen - Sandsli;SN50480;03.02.2020;-;0,3;-
Bergen - Sandsli;SN50480;04.02.2020;-;1;-
Bergen - Sandsli;SN50480;05.02.2020;-;4;-
Bergen - Sandsli;SN50480;06.02.2020;-;6,7;-
Bergen - Sandsli;SN50480;07.02.2020;-;3,8;-
Bergen - Sandsli;SN50480;08.02.2020;-;6,5;-
Bergen - Sandsli;SN50480;09.02.2020;-;6;-
Bergen - Sandsli;SN50480;10.02.2020;-;4,3;-
Bergen - Sandsli;SN50480;11.02.2020;-;4;-
Bergen - Sandsli;SN50480;12.02.2020;-;1,4;-
Bergen - Sandsli;SN50480;13.02.2020;-;1,2;-
Bergen - Sandsli;SN50480;14.02.2020;-;3,2;-
Bergen - Sandsli;SN50480;15.02.2020;-;6,6;-
Bergen - Sandsli;SN50480;16.02.2020;-;6,6;-
Bergen - Sandsli;SN50480;17.02.2020;-;6,7;-
Bergen - Sandsli;SN50480;18.02.2020;-;5,2;-
Bergen - Sandsli;SN50480;19.02.2020;-;4,2;-
Bergen - Sandsli;SN50480;20.02.2020;-;3,8;-
Bergen - Sandsli;SN50480;21.02.2020;-;6;-
Bergen - Sandsli;SN50480;22.02.2020;-;5;-
Bergen - Sandsli;SN50480;23.02.2020;-;3,4;-
Bergen - Sandsli;SN50480;24.02.2020;-;1,9;-
Bergen - Sandsli;SN50480;25.02.2020;-;1,4;-
Bergen - Sandsli;SN50480;26.02.2020;-;1;-
Bergen - Sandsli;SN50480;27.02.2020;-;0,5;-
Bergen - Sandsli;SN50480;28.02.2020;-;2,5;-
Bergen - Sandsli;SN50480;29.02.2020;-;3,7;-
Bergen - Sandsli;SN50480;01.03.2020;-;3,4;-
Bergen - Sandsli;SN50480;02.03.2020;-;4,9;-
Bergen - Sandsli;SN50480;03.03.2020;-;4,8;-
Bergen - Sandsli;SN50480;04.03.2020;-;3,6;-
Bergen - Sandsli;SN50480;05.03.2020;-;2,4;-
Bergen - Sandsli;SN50480;06.03.2020;-;3,2;-
Bergen - Sandsli;SN50480;07.03.2020;-;3,6;-
Bergen - Sandsli;SN50480;08.03.2020;-;7;-
Bergen - Sandsli;SN50480;09.03.2020;-;6,8;-
Bergen - Sandsli;SN50480;10.03.2020;-;5,9;-
Bergen - Sandsli;SN50480;11.03.2020;-;5,8;-
Bergen - Sandsli;SN50480;12.03.2020;-;4,1;-
Bergen - Sandsli;SN50480;13.03.2020;-;1,4;-
Bergen - Sandsli;SN50480;14.03.2020;-;2;-
Bergen - Sandsli;SN50480;15.03.2020;-;6,6;-
Bergen - Sandsli;SN50480;16.03.2020;-;3,8;-
Bergen - Sandsli;SN50480;17.03.2020;-;6,5;-
Bergen - Sandsli;SN50480;18.03.2020;-;4,4;-
Bergen - Sandsli;SN50480;19.03.2020;-;4,2;-
Bergen - Sandsli;SN50480;20.03.2020;-;3,7;-
Bergen - Sandsli;SN50480;21.03.2020;-;2,8;-
Bergen - Sandsli;SN50480;22.03.2020;-;4,4;-
Bergen - Sandsli;SN50480;23.03.2020;-;6;-
Bergen - Sandsli;SN50480;24.03.2020;-;7,1;-
Bergen - Sandsli;SN50480;25.03.2020;-;7,5;-
Bergen - Sandsli;SN50480;26.03.2020;-;6;-
Bergen - Sandsli;SN50480;27.03.2020;-;5,8;-
Bergen - Sandsli;SN50480;28.03.2020;-;2,7;-
Bergen - Sandsli;SN50480;29.03.2020;-;1;-
Bergen - Sandsli;SN50480;30.03.2020;-;4,2;-
Bergen - Sandsli;SN50480;31.03.2020;-;4,9;-
Bergen - Sandsli;SN50480;01.04.2020;-;5,9;-
Bergen - Sandsli;SN50480;02.04.2020;-;3;-
Bergen - Sandsli;SN50480;03.04.2020;-;1,2;-
Bergen - Sandsli;SN50480;04.04.2020;-;2,8;-
Bergen - Sandsli;SN50480;05.04.2020;-;9,3;-
Bergen - Sandsli;SN50480;06.04.2020;-;10,5;-
Bergen - Sandsli;SN50480;07.04.2020;-;7,5;-
Bergen - Sandsli;SN50480;08.04.2020;-;6,3;-
Bergen - Sandsli;SN50480;09.04.2020;-;4,1;-
Bergen - Sandsli;SN50480;10.04.2020;-;4,8;-
Bergen - Sandsli;SN50480;11.04.2020;-;6,3;-
Bergen - Sandsli;SN50480;12.04.2020;-;5,1;-
Bergen - Sandsli;SN50480;13.04.2020;-;2,4;-
Bergen - Sandsli;SN50480;14.04.2020;-;4,5;-
Bergen - Sandsli;SN50480;15.04.2020;-;7,1;-
Bergen - Sandsli;SN50480;16.04.2020;-;5,2;-
Bergen - Sandsli;SN50480;17.04.2020;-;5;-
Bergen - Sandsli;SN50480;18.04.2020;-;6,5;-
Bergen - Sandsli;SN50480;19.04.2020;-;7,9;-
Bergen - Sandsli;SN50480;20.04.2020;-;9,8;-
Bergen - Sandsli;SN50480;21.04.2020;-;12;-
Bergen - Sandsli;SN50480;22.04.2020;-;12,8;-
Bergen - Sandsli;SN50480;23.04.2020;-;8,2;-
Bergen - Sandsli;SN50480;24.04.2020;-;9,3;-
Bergen - Sandsli;SN50480;25.04.2020;-;8,4;-
Bergen - Sandsli;SN50480;26.04.2020;-;6,4;-
Bergen - Sandsli;SN50480;27.04.2020;-;6;-
Bergen - Sandsli;SN50480;28.04.2020;-;7,6;-
Bergen - Sandsli;SN50480;29.04.2020;-;7,3;-
Bergen - Sandsli;SN50480;30.04.2020;-;8,5;-
Bergen - Sandsli;SN50480;01.05.2020;-;8,2;-
Bergen - Sandsli;SN50480;02.05.2020;-;7,8;-
Bergen - Sandsli;SN50480;03.05.2020;-;6,3;-
Bergen - Sandsli;SN50480;04.05.2020;-;5,8;-
Bergen - Sandsli;SN50480;05.05.2020;-;6;-
Bergen - Sandsli;SN50480;06.05.2020;-;8,9;-
Bergen - Sandsli;SN50480;07.05.2020;-;7,4;-
Bergen - Sandsli;SN50480;08.05.2020;-;8,1;-
Bergen - Sandsli;SN50480;09.05.2020;-;6,7;-
Bergen - Sandsli;SN50480;10.05.2020;-;4,6;-
Bergen - Sandsli;SN50480;11.05.2020;-;3,8;-
Bergen - Sandsli;SN50480;12.05.2020;-;3,6;-
Bergen - Sandsli;SN50480;13.05.2020;-;4,1;-
Bergen - Sandsli;SN50480;14.05.2020;-;5;-
Bergen - Sandsli;SN50480;15.05.2020;-;5,6;-
Bergen - Sandsli;SN50480;16.05.2020;-;3,8;-
Bergen - Sandsli;SN50480;17.05.2020;-;6,4;-
Bergen - Sandsli;SN50480;18.05.2020;-;7,4;-
Bergen - Sandsli;SN50480;19.05.2020;-;8,6;-
Bergen - Sandsli;SN50480;20.05.2020;-;10,1;-
Bergen - Sandsli;SN50480;21.05.2020;-;14,2;-
Bergen - Sandsli;SN50480;22.05.2020;-;14,1;-
Bergen - Sandsli;SN50480;23.05.2020;-;10,9;-
Bergen - Sandsli;SN50480;24.05.2020;-;9,9;-
Bergen - Sandsli;SN50480;25.05.2020;-;10,6;-
Trondheim - Risvollan;SN68230;26.11.2019;-;-0,1;-
Trondheim - Risvollan;SN68230;27.11.2019;-;-0,4;-
Trondheim - Risvollan;SN68230;28.11.2019;-;-1,4;-
Trondheim - Risvollan;SN68230;29.11.2019;-;0;-
Trondheim - Risvollan;SN68230;30.11.2019;-;-1,4;-
Trondheim - Risvollan;SN68230;01.12.2019;-;-0,7;-
Trondheim - Risvollan;SN68230;02.12.2019;-;-0,9;-
Trondheim - Risvollan;SN68230;03.12.2019;-;3,5;-
Trondheim - Risvollan;SN68230;04.12.2019;-;2,6;-
Trondheim - Risvollan;SN68230;05.12.2019;-;1,7;-
Trondheim - Risvollan;SN68230;06.12.2019;-;2;-
Trondheim - Risvollan;SN68230;07.12.2019;-;0,7;-
Trondheim - Risvollan;SN68230;08.12.2019;-;-1,5;-
Trondheim - Risvollan;SN68230;09.12.2019;-;-2,9;-
Trondheim - Risvollan;SN68230;10.12.2019;-;-1,6;-
Trondheim - Risvollan;SN68230;11.12.2019;-;4;-
Trondheim - Risvollan;SN68230;12.12.2019;-;4,5;-
Trondheim - Risvollan;SN68230;13.12.2019;-;1,7;-
Trondheim - Risvollan;SN68230;14.12.2019;-;3;-
Trondheim - Risvollan;SN68230;15.12.2019;-;0,4;-
Trondheim - Risvollan;SN68230;16.12.2019;-;-2,4;-
Trondheim - Risvollan;SN68230;17.12.2019;-;-3;-
Trondheim - Risvollan;SN68230;18.12.2019;-;-2,3;-
Trondheim - Risvollan;SN68230;19.12.2019;-;-2,7;-
Trondheim - Risvollan;SN68230;20.12.2019;-;1,5;-
Trondheim - Risvollan;SN68230;21.12.2019;-;3,6;-
Trondheim - Risvollan;SN68230;22.12.2019;-;2,1;-
Trondheim - Risvollan;SN68230;23.12.2019;-;-1,3;-
Trondheim - Risvollan;SN68230;24.12.2019;-;-5,4;-
Trondheim - Risvollan;SN68230;25.12.2019;-;-5,2;-
Trondheim - Risvollan;SN68230;26.12.2019;-;-0,9;-
Trondheim - Risvollan;SN68230;27.12.2019;-;-4,6;-
Trondheim - Risvollan;SN68230;28.12.2019;-;1,3;-
Trondheim - Risvollan;SN68230;29.12.2019;-;5,9;-
Trondheim - Risvollan;SN68230;30.12.2019;-;4,3;-
Trondheim - Risvollan;SN68230;31.12.2019;-;2,3;-
Trondheim - Risvollan;SN68230;01.01.2020;-;7;-
Trondheim - Risvollan;SN68230;02.01.2020;-;5,6;-
Trondheim - Risvollan;SN68230;03.01.2020;-;-0,2;-
Trondheim - Risvollan;SN68230;04.01.2020;-;0,5;-
Trondheim - Risvollan;SN68230;05.01.2020;-;1,4;-
Trondheim - Risvollan;SN68230;06.01.2020;-;2,6;-
Trondheim - Risvollan;SN68230;07.01.2020;-;5,2;-
Trondheim - Risvollan;SN68230;08.01.2020;-;3,4;-
Trondheim - Risvollan;SN68230;09.01.2020;-;0,8;-
Trondheim - Risvollan;SN68230;10.01.2020;-;-0,6;-
Trondheim - Risvollan;SN68230;11.01.2020;-;4,2;-
Trondheim - Risvollan;SN68230;12.01.2020;-;1,4;-
Trondheim - Risvollan;SN68230;13.01.2020;-;0,6;-
Trondheim - Risvollan;SN68230;14.01.2020;-;3,8;-
Trondheim - Risvollan;SN68230;15.01.2020;-;2,3;-
Trondheim - Risvollan;SN68230;16.01.2020;-;3,7;-
Trondheim - Risvollan;SN68230;17.01.2020;-;1,9;-
Trondheim - Risvollan;SN68230;18.01.2020;-;-0,5;-
Trondheim - Risvollan;SN68230;19.01.2020;-;2,9;-
Trondheim - Risvollan;SN68230;20.01.2020;-;7,8;-
Trondheim - Risvollan;SN68230;21.01.2020;-;2,3;-
Trondheim - Risvollan;SN68230;22.01.2020;-;1,4;-
Trondheim - Risvollan;SN68230;23.01.2020;-;3,4;-
Trondheim - Risvollan;SN68230;24.01.2020;-;0,6;-
Trondheim - Risvollan;SN68230;25.01.2020;-;0,4;-
Trondheim - Risvollan;SN68230;26.01.2020;-;2,7;-
Trondheim - Risvollan;SN68230;27.01.2020;-;-1,5;-
Trondheim - Risvollan;SN68230;28.01.2020;-;-3,2;-
Trondheim - Risvollan;SN68230;29.01.2020;-;-0,2;-
Trondheim - Risvollan;SN68230;30.01.2020;-;-4,5;-
Trondheim - Risvollan;SN68230;31.01.2020;-;2,4;-
