Navn;Stasjon;Tid(norsk normaltid);Maksimumstemperatur (døgn);Middeltemperatur (døgn);Minimumstemperatur (døgn)
Tromsø;SN90450;20.02.2020;-2,3;-3,1;-4,3
Tromsø;SN90450;21.02.2020;3,9;1,6;-2,6
Tromsø;SN90450;22.02.2020;4,4;3,2;1,4
Tromsø;SN90450;23.02.2020;2,7;1,4;0,2
Tromsø;SN90450;24.02.2020;1,1;-2,6;-3,7
Tromsø;SN90450;25.02.2020;-2,6;-4,1;-6
Tromsø;SN90450;26.02.2020;2,6;-2,1;-5,3
Tromsø;SN90450;27.02.2020;1,8;-0,2;-2,2
Tromsø;SN90450;28.02.2020;0;-1,9;-4
Tromsø;SN90450;29.02.2020;-1,2;-3,7;-4,4
Tromsø;SN90450;01.03.2020;-1,2;-5,9;-8,7
Tromsø;SN90450;02.03.2020;-0,8;-3,7;-7,7
Tromsø;SN90450;03.03.2020;0,4;-3,7;-6,8
Tromsø;SN90450;04.03.2020;-0,7;-2,8;-7,8
Tromsø;SN90450;05.03.2020;-1,3;-3,4;-5,3
Tromsø;SN90450;06.03.2020;0,3;-1,5;-5,2
Tromsø;SN90450;07.03.2020;2,2;1,5;0,1
Tromsø;SN90450;08.03.2020;4,3;-0,2;-3,7
Tromsø;SN90450;09.03.2020;5,8;2,5;-1,5
Tromsø;SN90450;10.03.2020;4,3;-3;-5,5
Tromsø;SN90450;11.03.2020;-0,5;-3,1;-6,5
Tromsø;SN90450;12.03.2020;-0,9;-3,4;-4,6
Tromsø;SN90450;13.03.2020;-4,4;-6,7;-8,4
Tromsø;SN90450;14.03.2020;-4;-5,1;-8,6
Tromsø;SN90450;15.03.2020;1,6;-1,9;-5,9
Tromsø;SN90450;16.03.2020;-0,2;-2,8;-5,6
Tromsø;SN90450;17.03.2020;1,8;0;-3
Tromsø;SN90450;18.03.2020;2,5;0;-1,5
Tromsø;SN90450;19.03.2020;-1,4;-5,3;-7,4
Tromsø;SN90450;20.03.2020;-0,8;-4,5;-6,6
Tromsø;SN90450;21.03.2020;0,6;-1,4;-7,8
Tromsø;SN90450;22.03.2020;3,6;2,3;0,1
Tromsø;SN90450;23.03.2020;4,9;3,3;0,3
Tromsø;SN90450;24.03.2020;5,4;3,2;1,8
Tromsø;SN90450;25.03.2020;2,8;1;0,1
Tromsø;SN90450;26.03.2020;4,7;2,1;-0,8
Tromsø;SN90450;27.03.2020;3,2;1,6;0,1
Tromsø;SN90450;28.03.2020;2,2;-3,7;-5,3
Tromsø;SN90450;29.03.2020;-1;-4,7;-6,6
Tromsø;SN90450;30.03.2020;0,3;-3,5;-6,5
Tromsø;SN90450;31.03.2020;0,4;-1,5;-3,7
Tromsø;SN90450;01.04.2020;1,2;-3,2;-5,2
Tromsø;SN90450;02.04.2020;-0,6;-5,7;-10,2
Tromsø;SN90450;03.04.2020;-2,7;-5,7;-11,2
Tromsø;SN90450;04.04.2020;-1,3;-4,6;-7,2
Tromsø;SN90450;05.04.2020;-2,7;-4,1;-5,8
Tromsø;SN90450;06.04.2020;0,5;-2,2;-7,5
Tromsø;SN90450;07.04.2020;6,2;3,5;-0,7
Tromsø;SN90450;08.04.2020;6,4;1,6;0,1
Tromsø;SN90450;09.04.2020;0,9;-2,4;-3,5
Tromsø;SN90450;10.04.2020;0,8;-2,5;-4,4
Tromsø;SN90450;11.04.2020;0,6;-1,2;-4,7
Tromsø;SN90450;12.04.2020;1,3;-1,4;-3,6
Tromsø;SN90450;13.04.2020;3,2;0;-2,3
Tromsø;SN90450;14.04.2020;3,2;0,7;-3,4
Tromsø;SN90450;15.04.2020;4,1;0,9;-1,6
Tromsø;SN90450;16.04.2020;4,7;1,4;-0,9
Tromsø;SN90450;17.04.2020;4,1;1,2;-1,4
Tromsø;SN90450;18.04.2020;3,5;2;-1,8
Tromsø;SN90450;19.04.2020;5,1;3,6;2,4
Tromsø;SN90450;20.04.2020;7,4;4,6;2,7
Tromsø;SN90450;21.04.2020;6,6;3,5;0,5
Tromsø;SN90450;22.04.2020;7,2;3,6;0,5
Tromsø;SN90450;23.04.2020;3,7;1,9;1,5
Tromsø;SN90450;24.04.2020;3,5;0,6;-1,8
Tromsø;SN90450;25.04.2020;2;0,5;-0,8
Tromsø;SN90450;26.04.2020;3;0,6;-1
Tromsø;SN90450;27.04.2020;3,7;0,1;-0,9
Tromsø;SN90450;28.04.2020;4,5;0,3;-1,5
Tromsø;SN90450;29.04.2020;3,7;0,4;-4,2
Tromsø;SN90450;30.04.2020;4,7;1,4;-3,9
Tromsø;SN90450;01.05.2020;4,9;1,7;-2,3
Tromsø;SN90450;02.05.2020;8,1;3,8;0,1
Tromsø;SN90450;03.05.2020;7,6;4,5;1,9
Tromsø;SN90450;04.05.2020;4,8;2,5;1
Tromsø;SN90450;05.05.2020;6;3,6;0,5
Tromsø;SN90450;06.05.2020;5;2,4;1,4
Tromsø;SN90450;07.05.2020;4;0,8;0,3
Tromsø;SN90450;08.05.2020;3,7;0,2;-1,3
Tromsø;SN90450;09.05.2020;3,3;0,4;-2,2
Tromsø;SN90450;10.05.2020;4,5;1,4;-0,9
Tromsø;SN90450;11.05.2020;3;0,3;-1
Tromsø;SN90450;12.05.2020;0,8;-0,7;-1,7
Tromsø;SN90450;13.05.2020;4,3;1,3;-1,8
Tromsø;SN90450;14.05.2020;5,1;1,8;-2,1
Tromsø;SN90450;15.05.2020;3,2;1,1;-0,6
Tromsø;SN90450;16.05.2020;9,3;5,2;0,9
Tromsø;SN90450;17.05.2020;5,5;2,7;0,4
Tromsø;SN90450;18.05.2020;9,4;3,4;0,4
Tromsø;SN90450;19.05.2020;7,7;3,7;-0,1
Tromsø;SN90450;20.05.2020;7,8;4,4;1,4
Tromsø;SN90450;21.05.2020;8,8;5,4;1,3
Tromsø;SN90450;22.05.2020;11,7;7,1;1,1
Tromsø;SN90450;23.05.2020;15,6;10,7;3,1
Tromsø;SN90450;24.05.2020;13;9,9;6,4
Tromsø;SN90450;25.05.2020;14,4;9,8;6,5
Tromsø;SN90450;26.05.2020;12,5;-;5,5
Gjerpen - Århus;SN30330;24.03.2020;-;2,3;-
Gjerpen - Århus;SN30330;25.03.2020;-;5,4;-
Gjerpen - Århus;SN30330;26.03.2020;-;5,2;-
Gjerpen - Århus;SN30330;27.03.2020;-;5,2;-
Gjerpen - Århus;SN30330;28.03.2020;-;3,1;-
Gjerpen - Århus;SN30330;29.03.2020;-;1,7;-
Gjerpen - Århus;SN30330;30.03.2020;-;3;-
Gjerpen - Århus;SN30330;31.03.2020;-;4;-
