Navn;Stasjon;Tid(norsk normaltid);Middeltemperatur (døgn);Maksimumstemperatur (døgn);Minimumstemperatur (døgn)
Kristiansand - Sømskleiva;SN39150;29.01.2020;2,5;-;-
Kristiansand - Sømskleiva;SN39150;30.01.2020;1,9;-;-
Kristiansand - Sømskleiva;SN39150;31.01.2020;4,1;-;-
Kristiansand - Sømskleiva;SN39150;01.02.2020;7,2;-;-
Kristiansand - Sømskleiva;SN39150;02.02.2020;3,2;-;-
Kristiansand - Sømskleiva;SN39150;03.02.2020;-0,1;-;-
Kristiansand - Sømskleiva;SN39150;04.02.2020;0,9;-;-
Kristiansand - Sømskleiva;SN39150;05.02.2020;3,8;-;-
Kristiansand - Sømskleiva;SN39150;06.02.2020;6,5;-;-
Kristiansand - Sømskleiva;SN39150;07.02.2020;2,8;-;-
Kristiansand - Sømskleiva;SN39150;08.02.2020;4,5;-;-
Kristiansand - Sømskleiva;SN39150;09.02.2020;5,8;-;-
Kristiansand - Sømskleiva;SN39150;10.02.2020;1,2;-;-
Kristiansand - Sømskleiva;SN39150;11.02.2020;0,6;-;-
Kristiansand - Sømskleiva;SN39150;12.02.2020;1,1;-;-
Kristiansand - Sømskleiva;SN39150;13.02.2020;0,3;-;-
Kristiansand - Sømskleiva;SN39150;14.02.2020;0,1;-;-
Kristiansand - Sømskleiva;SN39150;15.02.2020;3,3;-;-
Kristiansand - Sømskleiva;SN39150;16.02.2020;4,6;-;-
Kristiansand - Sømskleiva;SN39150;17.02.2020;4,5;-;-
Kristiansand - Sømskleiva;SN39150;18.02.2020;2,5;-;-
Kristiansand - Sømskleiva;SN39150;19.02.2020;2,3;-;-
Kristiansand - Sømskleiva;SN39150;26.02.2020;0;-;-
Kristiansand - Sømskleiva;SN39150;27.02.2020;0;-;-
Kristiansand - Sømskleiva;SN39150;28.02.2020;0;-;-
Kristiansand - Sømskleiva;SN39150;29.02.2020;0;-;-
Kristiansand - Sømskleiva;SN39150;03.03.2020;3,1;-;-
Kristiansand - Sømskleiva;SN39150;04.03.2020;2,4;-;-
Kristiansand - Sømskleiva;SN39150;05.03.2020;1,7;-;-
Kristiansand - Sømskleiva;SN39150;06.03.2020;1,2;-;-
Kristiansand - Sømskleiva;SN39150;07.03.2020;1,6;-;-
Kristiansand - Sømskleiva;SN39150;08.03.2020;6,3;-;-
Kristiansand - Sømskleiva;SN39150;09.03.2020;5,5;-;-
Kristiansand - Sømskleiva;SN39150;10.03.2020;5,1;-;-
Kristiansand - Sømskleiva;SN39150;11.03.2020;6;-;-
Kristiansand - Sømskleiva;SN39150;12.03.2020;4,1;-;-
Kristiansand - Sømskleiva;SN39150;13.03.2020;1,7;-;-
Kristiansand - Sømskleiva;SN39150;14.03.2020;1,5;-;-
Kristiansand - Sømskleiva;SN39150;15.03.2020;6;-;-
Kristiansand - Sømskleiva;SN39150;16.03.2020;5,2;-;-
Kristiansand - Sømskleiva;SN39150;17.03.2020;6,9;-;-
Kristiansand - Sømskleiva;SN39150;18.03.2020;5,2;-;-
Kristiansand - Sømskleiva;SN39150;19.03.2020;5,2;-;-
Kristiansand - Sømskleiva;SN39150;20.03.2020;3,5;-;-
Kristiansand - Sømskleiva;SN39150;21.03.2020;2;-;-
Kristiansand - Sømskleiva;SN39150;22.03.2020;2,4;-;-
Kristiansand - Sømskleiva;SN39150;23.03.2020;4,2;-;-
Kristiansand - Sømskleiva;SN39150;24.03.2020;5,6;-;-
Kristiansand - Sømskleiva;SN39150;25.03.2020;6,5;-;-
Kristiansand - Sømskleiva;SN39150;26.03.2020;4,2;-;-
Kristiansand - Sømskleiva;SN39150;27.03.2020;4,9;-;-
Kristiansand - Sømskleiva;SN39150;28.03.2020;6,1;-;-
Kristiansand - Sømskleiva;SN39150;29.03.2020;2,8;-;-
Kristiansand - Sømskleiva;SN39150;30.03.2020;3,9;-;-
Kristiansand - Sømskleiva;SN39150;31.03.2020;4,7;-;-
Kristiansand - Sømskleiva;SN39150;01.04.2020;6,5;-;-
Kristiansand - Sømskleiva;SN39150;02.04.2020;4,8;-;-
Kristiansand - Sømskleiva;SN39150;03.04.2020;3,3;-;-
Kristiansand - Sømskleiva;SN39150;04.04.2020;3,1;-;-
Kristiansand - Sømskleiva;SN39150;05.04.2020;7,4;-;-
Kristiansand - Sømskleiva;SN39150;06.04.2020;8,2;-;-
Kristiansand - Sømskleiva;SN39150;07.04.2020;8,4;-;-
Kristiansand - Sømskleiva;SN39150;08.04.2020;7;-;-
Kristiansand - Sømskleiva;SN39150;09.04.2020;6,6;-;-
Kristiansand - Sømskleiva;SN39150;10.04.2020;5,3;-;-
Kristiansand - Sømskleiva;SN39150;11.04.2020;5,3;-;-
Kristiansand - Sømskleiva;SN39150;12.04.2020;7,2;-;-
Kristiansand - Sømskleiva;SN39150;13.04.2020;5;-;-
Kristiansand - Sømskleiva;SN39150;14.04.2020;5,4;-;-
Kristiansand - Sømskleiva;SN39150;15.04.2020;8,5;-;-
Kristiansand - Sømskleiva;SN39150;16.04.2020;9,1;-;-
Kristiansand - Sømskleiva;SN39150;17.04.2020;5,9;-;-
Kristiansand - Sømskleiva;SN39150;18.04.2020;5,6;-;-
Kristiansand - Sømskleiva;SN39150;19.04.2020;8,4;-;-
Kristiansand - Sømskleiva;SN39150;20.04.2020;10,3;-;-
Kristiansand - Sømskleiva;SN39150;21.04.2020;13,7;-;-
Kristiansand - Sømskleiva;SN39150;22.04.2020;12,8;-;-
Kristiansand - Sømskleiva;SN39150;23.04.2020;10,5;-;-
Kristiansand - Sømskleiva;SN39150;24.04.2020;10,3;-;-
Kristiansand - Sømskleiva;SN39150;25.04.2020;8,3;-;-
Kristiansand - Sømskleiva;SN39150;26.04.2020;7,6;-;-
Kristiansand - Sømskleiva;SN39150;27.04.2020;8,5;-;-
Kristiansand - Sømskleiva;SN39150;28.04.2020;5,8;-;-
Kristiansand - Sømskleiva;SN39150;29.04.2020;6,5;-;-
Kristiansand - Sømskleiva;SN39150;30.04.2020;5,1;-;-
Kristiansand - Sømskleiva;SN39150;01.05.2020;7;-;-
Kristiansand - Sømskleiva;SN39150;02.05.2020;9,7;-;-
Kristiansand - Sømskleiva;SN39150;04.05.2020;8,7;-;-
Kristiansand - Sømskleiva;SN39150;05.05.2020;8,6;-;-
Kristiansand - Sømskleiva;SN39150;06.05.2020;10,1;-;-
Kristiansand - Sømskleiva;SN39150;07.05.2020;11,1;-;-
Kristiansand - Sømskleiva;SN39150;08.05.2020;11,5;-;-
Kristiansand - Sømskleiva;SN39150;09.05.2020;10,3;-;-
Kristiansand - Sømskleiva;SN39150;10.05.2020;8;-;-
Kristiansand - Sømskleiva;SN39150;11.05.2020;7;-;-
Kristiansand - Sømskleiva;SN39150;12.05.2020;6,6;-;-
Kristiansand - Sømskleiva;SN39150;13.05.2020;7,8;-;-
Kristiansand - Sømskleiva;SN39150;14.05.2020;6,9;-;-
Kristiansand - Sømskleiva;SN39150;15.05.2020;8,5;-;-
Kristiansand - Sømskleiva;SN39150;16.05.2020;7,1;-;-
Kristiansand - Sømskleiva;SN39150;17.05.2020;8,8;-;-
Kristiansand - Sømskleiva;SN39150;18.05.2020;9;-;-
Kristiansand - Sømskleiva;SN39150;19.05.2020;12,2;-;-
Kristiansand - Sømskleiva;SN39150;20.05.2020;11,3;-;-
Kristiansand - Sømskleiva;SN39150;21.05.2020;12,8;-;-
Kristiansand - Sømskleiva;SN39150;22.05.2020;13;-;-
Kristiansand - Sømskleiva;SN39150;23.05.2020;11,2;-;-
Kristiansand - Sømskleiva;SN39150;24.05.2020;11,3;-;-
Kristiansand - Sømskleiva;SN39150;25.05.2020;14,1;-;-
Ålesund Iv;SN60945;26.11.2019;5;6,2;3,9
Ålesund Iv;SN60945;27.11.2019;3,5;5,2;1,7
Ålesund Iv;SN60945;28.11.2019;2,5;4,5;0,8
Ålesund Iv;SN60945;29.11.2019;2,3;4,3;0,4
Ålesund Iv;SN60945;30.11.2019;2;3,5;0,6
Ålesund Iv;SN60945;01.12.2019;2,9;4,4;0,8
Ålesund Iv;SN60945;02.12.2019;2,8;4,1;0,7
Ålesund Iv;SN60945;03.12.2019;8,3;9,4;3,9
Ålesund Iv;SN60945;04.12.2019;9,6;11,7;7,9
Ålesund Iv;SN60945;05.12.2019;6;8,9;3
Ålesund Iv;SN60945;06.12.2019;4,8;6;2,8
Ålesund Iv;SN60945;07.12.2019;2,8;5,2;1,6
Ålesund Iv;SN60945;08.12.2019;3,3;7,2;0,5
Ålesund Iv;SN60945;09.12.2019;1,9;7,3;0,8
Ålesund Iv;SN60945;10.12.2019;4,4;8,7;-0,5
Ålesund Iv;SN60945;11.12.2019;6,4;10,7;4,6
Ålesund Iv;SN60945;12.12.2019;6;7,8;4,3
Ålesund Iv;SN60945;13.12.2019;5,2;6,9;3,5
Ålesund Iv;SN60945;14.12.2019;4,2;6,6;2,5
Ålesund Iv;SN60945;15.12.2019;2,9;5,8;1,7
Ålesund Iv;SN60945;16.12.2019;3,2;5,8;2,4
Ålesund Iv;SN60945;17.12.2019;2,1;3,1;1,2
Ålesund Iv;SN60945;18.12.2019;4,4;5,7;1,9
Ålesund Iv;SN60945;19.12.2019;4;6,3;1,9
Ålesund Iv;SN60945;20.12.2019;6,1;6,9;3,6
Ålesund Iv;SN60945;21.12.2019;8,3;12,3;6,3
Ålesund Iv;SN60945;22.12.2019;3,5;7,7;2,1
Ålesund Iv;SN60945;23.12.2019;2,1;3,3;1,3
Ålesund Iv;SN60945;24.12.2019;2,5;3,5;0,5
Ålesund Iv;SN60945;25.12.2019;3,3;4,1;1
Ålesund Iv;SN60945;26.12.2019;2,9;3,8;2,3
Ålesund Iv;SN60945;27.12.2019;1,7;2,6;-0,3
Ålesund Iv;SN60945;28.12.2019;9;10,5;2
Ålesund Iv;SN60945;29.12.2019;10,6;11,6;9,7
Ålesund Iv;SN60945;30.12.2019;7,5;11;6,3
Ålesund Iv;SN60945;31.12.2019;5,6;7,8;2,9
Ålesund Iv;SN60945;01.01.2020;8,6;10,6;7,3
Ålesund Iv;SN60945;02.01.2020;9,9;13,1;7,1
Ålesund Iv;SN60945;03.01.2020;2,7;8,2;-1,3
Ålesund Iv;SN60945;04.01.2020;2,9;4,3;0,2
Ålesund Iv;SN60945;05.01.2020;6,8;9,4;1,9
Ålesund Iv;SN60945;06.01.2020;11,1;13;7,8
Ålesund Iv;SN60945;07.01.2020;8,8;12,1;6,7
Ålesund Iv;SN60945;08.01.2020;6;12,5;2,1
Ålesund Iv;SN60945;09.01.2020;5,8;6,5;2,6
Ålesund Iv;SN60945;10.01.2020;6,2;7;4,7
Ålesund Iv;SN60945;11.01.2020;8;10,3;3,8
Ålesund Iv;SN60945;12.01.2020;5;8,4;2,5
Ålesund Iv;SN60945;13.01.2020;6,8;8,3;1,9
Ålesund Iv;SN60945;14.01.2020;6,6;9,4;4,5
Ålesund Iv;SN60945;15.01.2020;6;8,1;2,5
Ålesund Iv;SN60945;16.01.2020;7,6;8,8;6
Ålesund Iv;SN60945;17.01.2020;8,9;11;6,1
Ålesund Iv;SN60945;18.01.2020;6,7;10,3;4,8
Ålesund Iv;SN60945;19.01.2020;5,5;6,8;3,6
Ålesund Iv;SN60945;20.01.2020;9,5;12,5;5,5
Ålesund Iv;SN60945;21.01.2020;5,2;10,3;3,3
Ålesund Iv;SN60945;22.01.2020;5;5,6;2,6
Ålesund Iv;SN60945;23.01.2020;7,9;9,5;3,7
Ålesund Iv;SN60945;24.01.2020;4,4;7,5;2,3
Ålesund Iv;SN60945;25.01.2020;6,7;9,7;2,4
Ålesund Iv;SN60945;26.01.2020;9,1;10,2;7,5
Ålesund Iv;SN60945;27.01.2020;4,9;10,3;3
Ålesund Iv;SN60945;28.01.2020;3,6;6,6;1,9
Ålesund Iv;SN60945;29.01.2020;2,7;4,5;0,5
Ålesund Iv;SN60945;30.01.2020;2,6;3,8;1
Ålesund Iv;SN60945;31.01.2020;5,8;8,6;2,9
Ålesund Iv;SN60945;01.02.2020;2,2;6,6;0,3
Ålesund Iv;SN60945;02.02.2020;2,9;5,1;1,1
Ålesund Iv;SN60945;03.02.2020;0,6;2,1;-0,2
Ålesund Iv;SN60945;04.02.2020;1,5;3,9;-2,5
Ålesund Iv;SN60945;05.02.2020;6,2;7,8;3,3
Ålesund Iv;SN60945;06.02.2020;8,3;9,8;6,8
Ålesund Iv;SN60945;07.02.2020;5,7;10,3;3,8
Ålesund Iv;SN60945;08.02.2020;6,4;12;1,1
Ålesund Iv;SN60945;09.02.2020;5,6;8,8;3,3
Ålesund Iv;SN60945;10.02.2020;4,4;6,2;2,9
Ålesund Iv;SN60945;11.02.2020;3,1;4,9;2,4
Ålesund Iv;SN60945;12.02.2020;2,2;3,7;0,8
Ålesund Iv;SN60945;13.02.2020;2,2;4,1;1
Ålesund Iv;SN60945;14.02.2020;2,6;5,7;-0,2
Ålesund Iv;SN60945;15.02.2020;7;8,7;4,6
Ålesund Iv;SN60945;16.02.2020;6,5;11,5;3,9
Ålesund Iv;SN60945;17.02.2020;6,3;8,3;4,6
Ålesund Iv;SN60945;18.02.2020;5,1;6,8;3,3
Ålesund Iv;SN60945;19.02.2020;4;6,2;2,8
Ålesund Iv;SN60945;20.02.2020;5,6;9,3;1,6
Ålesund Iv;SN60945;21.02.2020;5,4;8,5;2,5
Ålesund Iv;SN60945;22.02.2020;4,9;7,7;2
Ålesund Iv;SN60945;23.02.2020;2,7;5,5;0,6
Ålesund Iv;SN60945;24.02.2020;2,2;5;0,4
Ålesund Iv;SN60945;25.02.2020;0,7;3,7;-1,3
Ålesund Iv;SN60945;26.02.2020;1,4;4,1;-0,8
Ålesund Iv;SN60945;27.02.2020;2,9;5,6;0,1
Ålesund Iv;SN60945;28.02.2020;2,2;4,4;1
Ålesund Iv;SN60945;29.02.2020;1,5;4,2;-1,1
Ålesund Iv;SN60945;01.03.2020;2,5;4,5;1,3
Ålesund Iv;SN60945;02.03.2020;3,2;6,8;-0,5
Ålesund Iv;SN60945;03.03.2020;5,8;9,6;2,1
Ålesund Iv;SN60945;04.03.2020;5;8,8;3,1
Ålesund Iv;SN60945;05.03.2020;5;8,5;1,7
Ålesund Iv;SN60945;06.03.2020;4,9;7,4;3,9
Ålesund Iv;SN60945;07.03.2020;5,8;7,4;2
Ålesund Iv;SN60945;08.03.2020;8,8;11,7;5,6
Ålesund Iv;SN60945;09.03.2020;5,4;7,7;4,8
Ålesund Iv;SN60945;10.03.2020;5,2;7,9;1,1
Ålesund Iv;SN60945;11.03.2020;5,9;8,1;4,8
Ålesund Iv;SN60945;12.03.2020;2,3;5,3;0,9
Ålesund Iv;SN60945;13.03.2020;-0,6;1,9;-2
Ålesund Iv;SN60945;14.03.2020;2,8;4,4;-1,7
Ålesund Iv;SN60945;15.03.2020;5,4;8,2;2,7
Ålesund Iv;SN60945;16.03.2020;4,2;7,6;-0,4
Ålesund Iv;SN60945;17.03.2020;5,8;8;3,1
Ålesund Iv;SN60945;18.03.2020;4,5;6,1;2,7
Ålesund Iv;SN60945;19.03.2020;3,8;6;2,9
Ålesund Iv;SN60945;20.03.2020;1,8;4,9;-0,4
Ålesund Iv;SN60945;21.03.2020;2,9;6,4;-0,6
Ålesund Iv;SN60945;22.03.2020;5,5;6;2,2
Ålesund Iv;SN60945;23.03.2020;8,6;11,5;5,5
Ålesund Iv;SN60945;24.03.2020;8,4;10,8;5,4
Ålesund Iv;SN60945;25.03.2020;6,8;12,5;5,2
Ålesund Iv;SN60945;26.03.2020;6,5;10,3;3,7
Ålesund Iv;SN60945;27.03.2020;6,3;8,3;4,9
Ålesund Iv;SN60945;28.03.2020;1,3;5,6;-1,1
Ålesund Iv;SN60945;29.03.2020;1,3;3,2;-1,2
Ålesund Iv;SN60945;30.03.2020;2,6;5,8;-0,2
Ålesund Iv;SN60945;31.03.2020;6;7,1;2
Ålesund Iv;SN60945;01.04.2020;5,1;8,1;2,8
Ålesund Iv;SN60945;02.04.2020;2,2;5,3;0,2
Ålesund Iv;SN60945;03.04.2020;0,6;3,8;-0,8
Ålesund Iv;SN60945;04.04.2020;1,2;4,1;-1,7
Ålesund Iv;SN60945;05.04.2020;7,4;13,3;0,9
Ålesund Iv;SN60945;06.04.2020;13;17,6;9
Ålesund Iv;SN60945;07.04.2020;9,1;11,8;7,2
Ålesund Iv;SN60945;08.04.2020;6,6;10,7;4,4
Ålesund Iv;SN60945;09.04.2020;4;6,6;1,5
Ålesund Iv;SN60945;10.04.2020;4,9;7,6;2,8
Ålesund Iv;SN60945;11.04.2020;6,4;8,7;3
Ålesund Iv;SN60945;12.04.2020;4,2;9,9;0,3
Ålesund Iv;SN60945;13.04.2020;1,7;3,6;-0,6
Ålesund Iv;SN60945;14.04.2020;5,1;6,6;0,8
Ålesund Iv;SN60945;15.04.2020;6,8;8,9;5,4
Ålesund Iv;SN60945;16.04.2020;4,3;6,8;2,1
Ålesund Iv;SN60945;17.04.2020;4,9;8,8;2,3
Ålesund Iv;SN60945;18.04.2020;5,7;11,3;0,2
Ålesund Iv;SN60945;19.04.2020;6,9;11,7;2
Ålesund Iv;SN60945;20.04.2020;8,2;14,4;1,8
Ålesund Iv;SN60945;21.04.2020;10,7;16,6;4,9
Ålesund Iv;SN60945;22.04.2020;9,8;17,3;7
Ålesund Iv;SN60945;23.04.2020;5,5;8,4;4,3
Ålesund Iv;SN60945;24.04.2020;6,5;9,5;4,8
Ålesund Iv;SN60945;25.04.2020;6,4;9,2;4,4
Ålesund Iv;SN60945;26.04.2020;6,8;9,3;5,1
Ålesund Iv;SN60945;27.04.2020;7,7;11,2;3,4
Ålesund Iv;SN60945;28.04.2020;8;12,7;4,2
Ålesund Iv;SN60945;29.04.2020;7,1;9,5;4,3
Ålesund Iv;SN60945;30.04.2020;9,6;14,9;3,9
Ålesund Iv;SN60945;01.05.2020;6,7;10,6;5,2
Ålesund Iv;SN60945;02.05.2020;6,3;8,5;4,5
Ålesund Iv;SN60945;03.05.2020;5,4;8,1;4,4
Ålesund Iv;SN60945;04.05.2020;5,4;9,2;1,8
Ålesund Iv;SN60945;05.05.2020;6,6;8,5;3,3
Ålesund Iv;SN60945;06.05.2020;7,8;10,9;6,7
Ålesund Iv;SN60945;07.05.2020;6,9;10,8;4,1
Ålesund Iv;SN60945;08.05.2020;7;9;4,8
Ålesund Iv;SN60945;09.05.2020;4,9;8,7;3,5
Ålesund Iv;SN60945;10.05.2020;2,2;6,5;0,5
Ålesund Iv;SN60945;11.05.2020;2,5;5,8;0,6
Ålesund Iv;SN60945;12.05.2020;2;6,2;0,6
Ålesund Iv;SN60945;13.05.2020;2;5,8;-0,1
Ålesund Iv;SN60945;14.05.2020;3,3;5,8;0,4
Ålesund Iv;SN60945;15.05.2020;3,3;7;1,4
Ålesund Iv;SN60945;16.05.2020;3,6;5,7;1,6
Ålesund Iv;SN60945;17.05.2020;6,2;9,2;2,9
Ålesund Iv;SN60945;18.05.2020;6,4;10,7;3
Ålesund Iv;SN60945;19.05.2020;6,2;10,8;1,9
Ålesund Iv;SN60945;20.05.2020;8,6;13,9;2,5
Ålesund Iv;SN60945;21.05.2020;12,4;17,6;8,2
Ålesund Iv;SN60945;22.05.2020;14,1;19,7;9,8
Ålesund Iv;SN60945;23.05.2020;14;16,9;12,3
Ålesund Iv;SN60945;24.05.2020;12;15,4;9,8
Ålesund Iv;SN60945;25.05.2020;11,2;14,9;7,8
Bodø Vi;SN82290;26.11.2019;1,1;2,9;-0,6
Bodø Vi;SN82290;27.11.2019;-2;1;-3,1
Bodø Vi;SN82290;28.11.2019;-3,4;-0,9;-4,7
Bodø Vi;SN82290;29.11.2019;-2,4;1,3;-7,1
Bodø Vi;SN82290;30.11.2019;-1,9;0,7;-5,5
Bodø Vi;SN82290;01.12.2019;0,8;2,3;-3,8
Bodø Vi;SN82290;02.12.2019;1,6;2,7;0
Bodø Vi;SN82290;03.12.2019;3,3;6,1;0,5
Bodø Vi;SN82290;04.12.2019;7,2;8,4;5,8
Bodø Vi;SN82290;05.12.2019;3,1;7,6;0,8
Bodø Vi;SN82290;06.12.2019;3,1;4,4;0,9
Bodø Vi;SN82290;07.12.2019;3,8;5;2,5
Bodø Vi;SN82290;08.12.2019;-0,6;3,3;-3,1
Bodø Vi;SN82290;09.12.2019;-3,3;-0,2;-6
Bodø Vi;SN82290;10.12.2019;-2,7;0;-6,5
Bodø Vi;SN82290;11.12.2019;2,3;4,9;-3,3
Bodø Vi;SN82290;12.12.2019;4,2;5,7;2,5
Bodø Vi;SN82290;13.12.2019;3,1;5,4;2
Bodø Vi;SN82290;14.12.2019;3,5;4,8;0,9
Bodø Vi;SN82290;15.12.2019;3,8;4,3;3,2
Bodø Vi;SN82290;16.12.2019;1,2;4,1;-0,4
Bodø Vi;SN82290;17.12.2019;-0,9;0,7;-2,9
Bodø Vi;SN82290;18.12.2019;1,4;3,2;-3
Bodø Vi;SN82290;19.12.2019;2,4;4,6;1
Bodø Vi;SN82290;20.12.2019;0,1;2,1;-1,4
Bodø Vi;SN82290;21.12.2019;2,3;3,4;-1
Bodø Vi;SN82290;22.12.2019;4;5,6;2,5
Bodø Vi;SN82290;23.12.2019;1,6;4,1;0,5
Bodø Vi;SN82290;24.12.2019;1,2;1,9;0,7
Bodø Vi;SN82290;25.12.2019;-1;1,2;-1,7
Bodø Vi;SN82290;26.12.2019;-1,2;-0,3;-1,8
Bodø Vi;SN82290;27.12.2019;-1,8;-0,8;-2,8
Bodø Vi;SN82290;28.12.2019;3,9;7,6;-2,6
Bodø Vi;SN82290;29.12.2019;6,4;8,4;4,7
Bodø Vi;SN82290;30.12.2019;3,9;8;2
Bodø Vi;SN82290;31.12.2019;2,4;3,3;0,9
Bodø Vi;SN82290;01.01.2020;5,1;7,8;0,3
Bodø Vi;SN82290;02.01.2020;7;9,3;3,5
Bodø Vi;SN82290;03.01.2020;1,6;8,7;-0,8
Bodø Vi;SN82290;04.01.2020;0,4;2,5;-1,8
Bodø Vi;SN82290;05.01.2020;0,8;1,9;-3,2
Bodø Vi;SN82290;06.01.2020;5,1;5,8;0
Bodø Vi;SN82290;07.01.2020;5,8;8,4;4,3
Bodø Vi;SN82290;08.01.2020;4,4;7,3;0,6
Bodø Vi;SN82290;09.01.2020;3,4;5;0
Bodø Vi;SN82290;10.01.2020;3,6;4,6;2,4
Bodø Vi;SN82290;11.01.2020;3,9;6;1,3
Bodø Vi;SN82290;12.01.2020;3,1;6,2;0,8
Bodø Vi;SN82290;13.01.2020;2,9;4,5;1,2
Bodø Vi;SN82290;14.01.2020;2;4,2;0,3
Bodø Vi;SN82290;15.01.2020;1,9;4,8;0,2
Bodø Vi;SN82290;16.01.2020;2,6;4,9;0,2
Bodø Vi;SN82290;17.01.2020;3,4;6,1;1,8
Bodø Vi;SN82290;18.01.2020;0,6;2,1;-0,6
Bodø Vi;SN82290;19.01.2020;1,6;4,1;-0,1
Bodø Vi;SN82290;20.01.2020;5,2;7,4;3,7
Bodø Vi;SN82290;21.01.2020;2,2;5,5;-0,3
Bodø Vi;SN82290;22.01.2020;2,4;3,9;0,4
Bodø Vi;SN82290;23.01.2020;2,8;6;0,3
Bodø Vi;SN82290;24.01.2020;0,6;3,6;-0,6
Bodø Vi;SN82290;25.01.2020;0,4;2,4;-0,7
Bodø Vi;SN82290;26.01.2020;-2,8;-0,7;-3,8
Bodø Vi;SN82290;27.01.2020;-3,2;-2,5;-4,3
Bodø Vi;SN82290;28.01.2020;-2,8;-2;-3,5
Bodø Vi;SN82290;29.01.2020;-2,2;0;-3,8
Bodø Vi;SN82290;30.01.2020;-0,8;0,3;-2
Bodø Vi;SN82290;31.01.2020;1,3;3,9;-1,9
Bodø Vi;SN82290;01.02.2020;3,2;4,5;1,4
Bodø Vi;SN82290;02.02.2020;2;4,2;1,2
Bodø Vi;SN82290;03.02.2020;-1,9;2;-5,1
Bodø Vi;SN82290;04.02.2020;-3,4;0,8;-7,8
Bodø Vi;SN82290;05.02.2020;-1,4;1,1;-3,9
Bodø Vi;SN82290;06.02.2020;-0,6;0,5;-2,3
Bodø Vi;SN82290;07.02.2020;3,9;5,9;-2,1
Bodø Vi;SN82290;08.02.2020;2,6;6,2;1,5
Bodø Vi;SN82290;09.02.2020;3,9;5,9;2
Bodø Vi;SN82290;10.02.2020;2;4,6;0,5
Bodø Vi;SN82290;11.02.2020;3,3;4,3;1,1
Bodø Vi;SN82290;12.02.2020;1;3,1;0,3
Bodø Vi;SN82290;13.02.2020;-0,6;1,8;-2,7
Bodø Vi;SN82290;14.02.2020;0,3;1,9;-1,3
Bodø Vi;SN82290;15.02.2020;-0,7;0,1;-2,5
Bodø Vi;SN82290;16.02.2020;2,2;4,9;-0,3
Bodø Vi;SN82290;17.02.2020;1,8;4,6;0
Bodø Vi;SN82290;18.02.2020;1,7;3,5;0,6
Bodø Vi;SN82290;19.02.2020;-2,9;1,8;-5,5
Bodø Vi;SN82290;20.02.2020;-0,4;2,5;-5,2
Bodø Vi;SN82290;21.02.2020;3,5;5,4;0,8
Bodø Vi;SN82290;22.02.2020;3,6;5,8;2
Bodø Vi;SN82290;23.02.2020;2,3;4,1;0,2
Bodø Vi;SN82290;24.02.2020;0,3;2,1;-1,6
Bodø Vi;SN82290;25.02.2020;-1,1;1,5;-3,2
Bodø Vi;SN82290;26.02.2020;-2,3;-0,3;-3,5
Bodø Vi;SN82290;27.02.2020;-0,3;3,2;-3,8
Bodø Vi;SN82290;28.02.2020;-1,2;0,6;-2,4
Bodø Vi;SN82290;29.02.2020;-2,6;-0,1;-6,5
Bodø Vi;SN82290;01.03.2020;-5,9;-0,4;-11,9
Bodø Vi;SN82290;02.03.2020;-6,2;-3,1;-8,8
Bodø Vi;SN82290;03.03.2020;-3,2;0;-7,3
Bodø Vi;SN82290;04.03.2020;-0,7;0,4;-2
Bodø Vi;SN82290;05.03.2020;-2,5;0,2;-4,3
Bodø Vi;SN82290;06.03.2020;0,3;3,9;-4,3
Bodø Vi;SN82290;07.03.2020;3,3;5,8;0,4
Bodø Vi;SN82290;08.03.2020;2,2;3,7;0,8
Bodø Vi;SN82290;09.03.2020;4,4;6,1;2,3
Bodø Vi;SN82290;10.03.2020;3,3;5,2;2,2
Bodø Vi;SN82290;11.03.2020;2,2;3,8;1,1
Bodø Vi;SN82290;12.03.2020;-0,2;1,8;-1,3
Bodø Vi;SN82290;13.03.2020;-3,1;-1;-4,8
Bodø Vi;SN82290;14.03.2020;-0,5;2,7;-4,1
Bodø Vi;SN82290;15.03.2020;0,6;3,7;-1,2
Bodø Vi;SN82290;16.03.2020;1,2;3,8;-2
Bodø Vi;SN82290;17.03.2020;2,9;5;0,4
Bodø Vi;SN82290;18.03.2020;1,9;3,8;0,5
Bodø Vi;SN82290;19.03.2020;0,1;2,2;-2,2
Bodø Vi;SN82290;20.03.2020;-0,6;1,1;-3
Bodø Vi;SN82290;21.03.2020;0,9;2,8;-2,1
Bodø Vi;SN82290;22.03.2020;3,4;4,9;1
Bodø Vi;SN82290;23.03.2020;4,8;6;2,7
Bodø Vi;SN82290;24.03.2020;4,9;6,8;1,4
Bodø Vi;SN82290;25.03.2020;2,7;4,7;0,2
Bodø Vi;SN82290;26.03.2020;4,2;6,5;2,1
Bodø Vi;SN82290;27.03.2020;2,8;5,3;0,8
Bodø Vi;SN82290;28.03.2020;-1,7;3,7;-4
Bodø Vi;SN82290;29.03.2020;-1,9;1,7;-3,9
Bodø Vi;SN82290;30.03.2020;-1,1;0,7;-5,7
Bodø Vi;SN82290;31.03.2020;3;4,4;-0,1
Bodø Vi;SN82290;01.04.2020;1,4;4,4;0,2
Bodø Vi;SN82290;02.04.2020;-0,3;2,4;-3,3
Bodø Vi;SN82290;03.04.2020;-0,6;2,4;-5,4
